|artist_type_encoded|genre_encoded|edad_en_billboard|top
0|0|2|39|0
1|2|3|25|0
2|1|4|21|1
3|0|1|25|0
4|2|2|27|0
5|0|2|24|0
6|2|4|27|1
7|0|3|41|0
8|2|4|45|0
9|0|1|21|0
10|2|4|40|1
11|0|1|34|0
12|0|3|22|0
13|0|4|31|0
14|2|4|37|0
15|2|3|26|1
16|2|3|30|0
17|2|3|29|0
18|0|4|29|0
19|0|2|38|0
20|0|4|30|0
21|2|4|26|0
22|2|4|35|1
23|0|3|23|1
24|0|4|35|0
25|2|1|30|0
26|0|4|56|0
27|0|2|31|0
28|0|2|38|0
29|0|4|22|1
30|0|3|21|0
31|0|2|31|0
32|1|4|26|0
33|2|2|31|0
34|0|4|33|0
35|0|4|29|0
36|2|3|33|0
37|1|4|35|0
38|0|2|24|0
39|0|1|26|0
40|0|3|35|1
41|2|3|27|1
42|1|3|28|0
43|2|1|33|0
44|0|4|25|1
45|2|3|45|0
46|0|2|37|0
47|0|1|25|1
48|0|4|26|0
49|2|4|18|1
50|0|4|19|0
51|0|4|25|1
52|1|0|34|0
53|1|0|41|0
54|1|3|23|0
55|0|4|40|0
56|2|3|30|0
57|0|1|27|0
58|2|1|26|0
59|1|4|29|0
60|0|4|36|1
61|2|4|28|0
62|1|2|37|0
63|0|2|27|0
64|0|1|31|0
65|0|4|34|0
66|2|3|29|0
67|2|4|38|1
68|0|4|31|1
69|0|2|28|0
70|0|2|35|0
71|0|3|20|0
72|2|3|32|0
73|1|1|28|0
74|2|1|33|0
75|1|4|28|1
76|0|4|29|0
77|2|3|22|1
78|2|3|22|0
79|0|1|27|0
80|1|4|19|1
81|0|1|32|0
82|0|2|44|0
83|0|3|29|1
84|0|2|26|0
85|0|3|35|0
86|1|1|33|0
87|2|4|34|0
88|2|4|38|0
89|2|4|23|1
90|2|3|39|0
91|0|4|24|0
92|2|3|21|0
93|0|1|26|0
94|2|3|29|0
95|0|0|33|1
96|2|4|26|1
97|0|3|43|0
98|0|2|41|0
99|0|3|40|0
100|1|2|43|0
101|0|2|33|0
102|0|4|28|1
103|0|1|33|0
104|0|3|41|0
105|0|4|33|0
106|2|3|32|1
107|0|2|33|0
108|0|4|39|0
109|0|0|36|0
110|1|3|39|0
111|0|2|37|0
112|0|3|36|0
113|1|1|27|0
114|0|1|44|0
115|0|3|20|0
116|0|4|22|1
117|0|3|37|0
118|0|1|34|0
119|2|3|22|0
120|2|3|24|1
121|0|4|35|1
122|0|4|34|1
123|2|1|37|0
124|0|4|31|0
125|2|3|39|1
126|2|2|45|0
127|0|3|35|0
128|0|3|37|0
129|0|2|37|0
130|0|0|27|0
131|0|3|33|0
132|0|4|33|1
133|2|3|24|1
134|2|3|30|0
135|2|1|21|0
136|0|1|32|0
137|2|4|23|0
138|0|1|41|0
139|0|2|37|0
140|0|4|31|1
141|0|1|29|0
142|0|2|29|0
143|2|3|26|0
144|2|2|31|0
145|0|1|36|0
146|0|4|34|0
147|0|3|18|0
